Time,IDirNorm,WindVel
6425,2,2.600173071
6426,0,2.597248544
6427,0,2.199931817
6428,0,1.902761152
6429,0,1.5
6430,0,1.9
6431,0,2.2
6432,0,2.6
6433,0,2.6
6434,0,2.6
6435,0,2.6
6436,0,2.597383299
6437,0,2.600173071
6438,0,2.597248544
6439,0,2.404163056
6440,0,2.299934782
6441,0,2.097450834
6442,0,2.095709904
6443,1,2.103734774
6444,1,2.1
6445,2,2.100904567
6446,2,2.101071155
6447,0,2.097450834
6448,0,1.69649639
6449,0,1.400714104
6450,0,0.99959992
6451,0,1.199708298
6452,0,1.300499904
6453,0,1.49939988
6454,0,1.901604586
6455,0,2.205379786
6456,0,2.6
6457,0,2.796855377
6458,0,2.895600111
6459,0,3.094672842
6460,0,2.895600111
6461,0,2.796855377
6462,0,2.6
6463,0,2.8
6464,0,2.9
6465,0,3.1
6466,0,3.100967591
6467,0,3.102337828
6468,2,3.097046981
6469,2,3.102337828
6470,1,3.100967591
6471,0,3.1
6472,0,2.9
6473,0,2.8
6474,0,2.6
6475,0,2.6
6476,0,2.6
6477,0,2.6
6478,0,2.89794755
6479,0,3.296604314
6480,0,3.59684584
6481,0,3.902166065
6482,0,4.294380048
6483,0,4.599130353
6484,0,3.903869875
6485,0,3.300802933
6486,0,2.597883754
6487,0,2.895600111
6488,86,3.300439365
6489,310,3.59684584
6490,553,3.29953027
6491,696,2.90396281
6492,740,2.597248544
6493,554,2.596247292
6494,436,2.602498799
6495,295,2.6
6496,209,2.8
6497,118,2.9
6498,0,3.1
6499,0,3.102337828
6500,0,3.099193443
6501,0,3.094672842
6502,0,3.095238278
6503,0,3.098289851
6504,0,3.1
6505,0,2.6
6506,0,2
6507,0,1.5
6508,0,1.5
6509,0,1.502830662
6510,0,1.49939988
6511,0,1.00284595
6512,76,0.5
6513,344,0
6514,440,0.698569968
6515,422,1.400714104
6516,319,2.097450834
6517,351,1.904363411
6518,436,1.701881312
6519,487,1.49939988
6520,314,1.49939988
6521,145,1.49939988
6522,0,1.49939988
6523,0,1.500833102
6524,0,1.498032042
6525,0,1.498032042
6526,0,1.296919427
6527,0,1.203037822
6528,0,1
6529,0,1.2
6530,0,1.3
6531,0,1.5
6532,0,1.5
6533,0,1.5
6534,0,1.5
6535,0,1.303610371
6536,0,1.198165264
6537,0,1.00124922
6538,3,0.994635612
6539,1,1.003444069
6540,1,0.99959992
6541,3,0.700357052
6542,17,0.304630924
6543,26,0
6544,24,0.301496269
6545,30,0.698569968
6546,0,0.99959992
